链接标题,内容摘要,来源贴吧,最近回复用户名,最近回复时间,链接地址,主题帖包含图片链接,主题帖内容,图片本地存储地址
这是钓鱼网站吧,没点进去看,苹果,七咸鱼坐台,2021-11-20 08:49,https://tieba.baidu.com/p/7619283146?pid=142131857821&cid=0#142131857821,['http://tiebapic.baidu.com/forum/w%3D580/sign=b8abd31c381ed21b79c92eed9d6fddae/df0e9313b07eca805a077b09d42397dda04483f9.jpg'],"['没点进去看', '是的，别点，苹果不会发这样的短信。', '一看就是', '更新id，骗傻子吧', '一看就是', '额，这是官网啊。']",['../../results\\钓鱼网站\\images\\七咸鱼坐台.jpg']
回复:这是钓鱼网站吧,"是的,别点,苹果不会发这样的短信。",苹果,七zhi影,2021-11-20 09:28,https://tieba.baidu.com/p/7619283146?pid=142132210837&cid=0#142132210837,['http://tiebapic.baidu.com/forum/w%3D580/sign=b8abd31c381ed21b79c92eed9d6fddae/df0e9313b07eca805a077b09d42397dda04483f9.jpg'],"['没点进去看', '是的，别点，苹果不会发这样的短信。', '一看就是', '更新id，骗傻子吧', '一看就是', '额，这是官网啊。']",['../../results\\钓鱼网站\\images\\七咸鱼坐台.jpg']
这个平台是钓鱼网站吗,是网易官方的?,网易游戏,苏烬后有安,2021-11-10 16:24,https://tieba.baidu.com/p/7607488541?pid=142005154133&cid=0#142005154133,['http://tiebapic.baidu.com/forum/w%3D580/sign=1462fa2cf7119313c743ffb855390c10/22c88335e5dde711d7ce7718e2efce1b9c16616e.jpg'],['是网易官方的？'],['../../results\\钓鱼网站\\images\\苏烬后有安.jpg']
"回复:等了好久终于遇到钓鱼网站了,逐步说明这个网站的流程。","官方不作为,如果在发邮件时对邮件进行审查,也不至于这么多垃圾假冒官方盗号。",qq三国,a994827425,2021-10-12 18:29,https://tieba.baidu.com/p/7572809695?pid=141641903515&cid=0#141641903515,"['http://tiebapic.baidu.com/forum/w%3D580/sign=ad8adf27f7fb43161a1f7a7210a64642/37627dcb0a46f21f2eeee1bfb3246b600e33aea9.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=432f72ea66c79f3d8fe1e4388aa1cdbc/2355fa039245d6885e2d85b1f9c27d1ed21b2424.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=7bc42d0be4389b5038ffe05ab535e5f1/7dbefbfaaf51f3def99a8e71c9eef01f3a297927.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=f8f75325922a60595210e1121836342d/3591b0003af33a8740a8bff6835c10385143b5ba.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=e5036945513387449cc52f74610fd937/d433053b5bb5c9ea06e934f68839b6003af3b331.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=7992cbcf48ce36d3a20483380af33a24/1b5ab4119313b07ee8a7671d51d7912397dd8c31.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=7c6e2708892a283443a636036bb5c92e/da2fef50352ac65c0c0f5166a6f2b21192138ac1.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=bccb3c9906a98226b8c12b2fba83b97a/53b3b651f8198618617551680fed2e738ad4e651.jpg']","['首先注意这不是邮箱官网，QQ发的一般是QQ邮箱什么项目组，标题为蓝色的。', '看到不要慌，去安全中心确定下有没有异地登录，一般异地登录会被冻结谁也，用不了需要解冻。', '这些都是假的点进去没什么不详细说了，直接跳过。', 'QQ号对的玩玩他，密码是 随便输入的pianzinidiezaishuani（骗子你爹在耍你），这里说一句在不确定是官网的话密码随便输入如果不显示密码错误，肯定是钓鱼网站了。', '这两个随便输入直接跳过了.我输入的1414114、7474747474.', '', '不得不说现在骗子的钓鱼网站越来越完善了。和官网的一样，输入完后就是第二张图这样。这时候你所有的信息都是你亲手输入给骗子的。', 'gkd', '最后说一句，收到类似的邮件不要慌，去手机管家或者安全中心确认一下，如果都没有，手机上QQ有个紧急冻结，冻结就好了哪怕你号正在登录也会被踢下来。遇到不确定是不是官网像我随便输入，能下一步的都是钓鱼网站，信息不正确密码错误的是官网。官方网站有格式的，不能随便输入。', '刚刚又想起来一个：手机更改绑定最少需要24小时，没有几个小时就会更换的，而且被更换腾讯会给你的手机发更换提示，并且你只要回复一下就可以取消更改。', '正经人谁用网站改密码啊直接要改安全中心app打开两分钟的事', '你刚加QQ群，基本三天内会收到一封，我号上已经有好几封这样的信了。', '官方不作为，如果在发邮件时对邮件进行审查，也不至于这么多垃圾假冒官方盗号。', '你们都寂寞空虚冷的？没事去加所谓QQ群？', '，我在想就没有个高手反盗吗？给骗子洗劫一空。']","['../../results\\钓鱼网站\\images\\忧伤06231351-0.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-1.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-2.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-3.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-4.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-5.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-6.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-7.jpg']"
"回复:等了好久终于遇到钓鱼网站了,逐步说明这个网站的流程。",",我在想就没有个高手反盗吗?给骗子洗劫一空。",qq三国,会说话的狼狼,2021-10-13 16:06,https://tieba.baidu.com/p/7572809695?pid=141652125590&cid=0#141652125590,"['http://tiebapic.baidu.com/forum/w%3D580/sign=ad8adf27f7fb43161a1f7a7210a64642/37627dcb0a46f21f2eeee1bfb3246b600e33aea9.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=432f72ea66c79f3d8fe1e4388aa1cdbc/2355fa039245d6885e2d85b1f9c27d1ed21b2424.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=7bc42d0be4389b5038ffe05ab535e5f1/7dbefbfaaf51f3def99a8e71c9eef01f3a297927.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=f8f75325922a60595210e1121836342d/3591b0003af33a8740a8bff6835c10385143b5ba.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=e5036945513387449cc52f74610fd937/d433053b5bb5c9ea06e934f68839b6003af3b331.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=7992cbcf48ce36d3a20483380af33a24/1b5ab4119313b07ee8a7671d51d7912397dd8c31.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=7c6e2708892a283443a636036bb5c92e/da2fef50352ac65c0c0f5166a6f2b21192138ac1.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=bccb3c9906a98226b8c12b2fba83b97a/53b3b651f8198618617551680fed2e738ad4e651.jpg']","['首先注意这不是邮箱官网，QQ发的一般是QQ邮箱什么项目组，标题为蓝色的。', '看到不要慌，去安全中心确定下有没有异地登录，一般异地登录会被冻结谁也，用不了需要解冻。', '这些都是假的点进去没什么不详细说了，直接跳过。', 'QQ号对的玩玩他，密码是 随便输入的pianzinidiezaishuani（骗子你爹在耍你），这里说一句在不确定是官网的话密码随便输入如果不显示密码错误，肯定是钓鱼网站了。', '这两个随便输入直接跳过了.我输入的1414114、7474747474.', '', '不得不说现在骗子的钓鱼网站越来越完善了。和官网的一样，输入完后就是第二张图这样。这时候你所有的信息都是你亲手输入给骗子的。', 'gkd', '最后说一句，收到类似的邮件不要慌，去手机管家或者安全中心确认一下，如果都没有，手机上QQ有个紧急冻结，冻结就好了哪怕你号正在登录也会被踢下来。遇到不确定是不是官网像我随便输入，能下一步的都是钓鱼网站，信息不正确密码错误的是官网。官方网站有格式的，不能随便输入。', '刚刚又想起来一个：手机更改绑定最少需要24小时，没有几个小时就会更换的，而且被更换腾讯会给你的手机发更换提示，并且你只要回复一下就可以取消更改。', '正经人谁用网站改密码啊直接要改安全中心app打开两分钟的事', '你刚加QQ群，基本三天内会收到一封，我号上已经有好几封这样的信了。', '官方不作为，如果在发邮件时对邮件进行审查，也不至于这么多垃圾假冒官方盗号。', '你们都寂寞空虚冷的？没事去加所谓QQ群？', '，我在想就没有个高手反盗吗？给骗子洗劫一空。']","['../../results\\钓鱼网站\\images\\忧伤06231351-0.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-1.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-2.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-3.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-4.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-5.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-6.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-7.jpg']"
"回复:等了好久终于遇到钓鱼网站了,逐步说明这个网站的流程。","安全中心现在改不了了吧,得下手机管家了。",qq三国,忧伤06231351,2021-10-12 18:02,https://tieba.baidu.com/p/7572809695?pid=141641591200&cid=141641653074#141641653074,"['http://tiebapic.baidu.com/forum/w%3D580/sign=ad8adf27f7fb43161a1f7a7210a64642/37627dcb0a46f21f2eeee1bfb3246b600e33aea9.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=432f72ea66c79f3d8fe1e4388aa1cdbc/2355fa039245d6885e2d85b1f9c27d1ed21b2424.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=7bc42d0be4389b5038ffe05ab535e5f1/7dbefbfaaf51f3def99a8e71c9eef01f3a297927.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=f8f75325922a60595210e1121836342d/3591b0003af33a8740a8bff6835c10385143b5ba.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=e5036945513387449cc52f74610fd937/d433053b5bb5c9ea06e934f68839b6003af3b331.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=7992cbcf48ce36d3a20483380af33a24/1b5ab4119313b07ee8a7671d51d7912397dd8c31.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=7c6e2708892a283443a636036bb5c92e/da2fef50352ac65c0c0f5166a6f2b21192138ac1.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=bccb3c9906a98226b8c12b2fba83b97a/53b3b651f8198618617551680fed2e738ad4e651.jpg']","['首先注意这不是邮箱官网，QQ发的一般是QQ邮箱什么项目组，标题为蓝色的。', '看到不要慌，去安全中心确定下有没有异地登录，一般异地登录会被冻结谁也，用不了需要解冻。', '这些都是假的点进去没什么不详细说了，直接跳过。', 'QQ号对的玩玩他，密码是 随便输入的pianzinidiezaishuani（骗子你爹在耍你），这里说一句在不确定是官网的话密码随便输入如果不显示密码错误，肯定是钓鱼网站了。', '这两个随便输入直接跳过了.我输入的1414114、7474747474.', '', '不得不说现在骗子的钓鱼网站越来越完善了。和官网的一样，输入完后就是第二张图这样。这时候你所有的信息都是你亲手输入给骗子的。', 'gkd', '最后说一句，收到类似的邮件不要慌，去手机管家或者安全中心确认一下，如果都没有，手机上QQ有个紧急冻结，冻结就好了哪怕你号正在登录也会被踢下来。遇到不确定是不是官网像我随便输入，能下一步的都是钓鱼网站，信息不正确密码错误的是官网。官方网站有格式的，不能随便输入。', '刚刚又想起来一个：手机更改绑定最少需要24小时，没有几个小时就会更换的，而且被更换腾讯会给你的手机发更换提示，并且你只要回复一下就可以取消更改。', '正经人谁用网站改密码啊直接要改安全中心app打开两分钟的事', '你刚加QQ群，基本三天内会收到一封，我号上已经有好几封这样的信了。', '官方不作为，如果在发邮件时对邮件进行审查，也不至于这么多垃圾假冒官方盗号。', '你们都寂寞空虚冷的？没事去加所谓QQ群？', '，我在想就没有个高手反盗吗？给骗子洗劫一空。']","['../../results\\钓鱼网站\\images\\忧伤06231351-0.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-1.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-2.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-3.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-4.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-5.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-6.jpg', '../../results\\钓鱼网站\\images\\忧伤06231351-7.jpg']"
回复:兄弟们这是不是钓鱼网站啊?,iforgot.apple.com/password/verify/appleid,iphone,海和鱼私奔g,2021-11-18 23:30,https://tieba.baidu.com/p/7617727810?pid=142115291365&cid=0#142115291365,['http://tiebapic.baidu.com/forum/w%3D580/sign=efc1f73133c6a7efb926a82ecdf8afe9/2fdbe91190ef76c6af3fa9c5d816fdfaae516771.jpg'],"['兄弟们这是不是钓鱼网站啊？', 'iforgot.apple.com/password/verify/appleid', '不是']",['../../results\\钓鱼网站\\images\\海和鱼私奔g.jpg']
回复:现在钓鱼网站都没人管了吗??,这样自爆容易让9月末的那群人无地自容,地下城与勇士,第三回合_,2021-11-03 16:13,https://tieba.baidu.com/p/7599000127?pid=141910067459&cid=0#141910067459,"['http://tiebapic.baidu.com/forum/w%3D580/sign=2055750a4cdfa9ecfd2e561f52d1f754/f891a50f4bfbfbed79e2216925f0f736afc31f2f.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=84aa33f9f4ec8a13141a57e8c7029157/06314afbfbedab64d0c95ad6aa36afc379311e2f.jpg']","['谁点谁被盗号，我刚被盗了10亿金币，200万无色，一块技功5.6史诗玉，我已经报警了，后续给大家更新，有关系的帮忙查查是哪个地区的！', '顶我上去。', '顶我上去。', '该着', '顶了', '不是手机QQ扫码登录的网站一律不上', '登录过的记得改下密码！！！！', '吧务真是不做事', '他那个域名就不是TX的域名，这个看仔细了。而且现在这些操作能扫码一定要扫码登陆。', '为什么你会被这种网站骗啊，机器人24小时刷帖吧务是人管不住的，发这个贴的账号也换了十几个了', '还真有人上当啊 我的天', '手动输入密码真有你的', '', '666', '这样自爆容易让9月末的那群人无地自容']","['../../results\\钓鱼网站\\images\\第三回合_-0.jpg', '../../results\\钓鱼网站\\images\\第三回合_-1.jpg']"
回复:现在钓鱼网站都没人管了吗??,只能说无论多久多无脑骗术都能骗到一些天N真T的人,地下城与勇士,Ny763387820,2021-11-03 16:25,https://tieba.baidu.com/p/7599000127?pid=141909994493&cid=141910208675#141910208675,"['http://tiebapic.baidu.com/forum/w%3D580/sign=2055750a4cdfa9ecfd2e561f52d1f754/f891a50f4bfbfbed79e2216925f0f736afc31f2f.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=84aa33f9f4ec8a13141a57e8c7029157/06314afbfbedab64d0c95ad6aa36afc379311e2f.jpg']","['谁点谁被盗号，我刚被盗了10亿金币，200万无色，一块技功5.6史诗玉，我已经报警了，后续给大家更新，有关系的帮忙查查是哪个地区的！', '顶我上去。', '顶我上去。', '该着', '顶了', '不是手机QQ扫码登录的网站一律不上', '登录过的记得改下密码！！！！', '吧务真是不做事', '他那个域名就不是TX的域名，这个看仔细了。而且现在这些操作能扫码一定要扫码登陆。', '为什么你会被这种网站骗啊，机器人24小时刷帖吧务是人管不住的，发这个贴的账号也换了十几个了', '还真有人上当啊 我的天', '手动输入密码真有你的', '', '666', '这样自爆容易让9月末的那群人无地自容']","['../../results\\钓鱼网站\\images\\第三回合_-0.jpg', '../../results\\钓鱼网站\\images\\第三回合_-1.jpg']"
回复:现在钓鱼网站都没人管了吗??,"我买过号,15块钱俩,如果要那种注册时间短的更便宜",地下城与勇士,SAHAQUIEL_,2021-11-03 17:17,https://tieba.baidu.com/p/7599000127?pid=141909849301&cid=141910821832#141910821832,"['http://tiebapic.baidu.com/forum/w%3D580/sign=2055750a4cdfa9ecfd2e561f52d1f754/f891a50f4bfbfbed79e2216925f0f736afc31f2f.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=84aa33f9f4ec8a13141a57e8c7029157/06314afbfbedab64d0c95ad6aa36afc379311e2f.jpg']","['谁点谁被盗号，我刚被盗了10亿金币，200万无色，一块技功5.6史诗玉，我已经报警了，后续给大家更新，有关系的帮忙查查是哪个地区的！', '顶我上去。', '顶我上去。', '该着', '顶了', '不是手机QQ扫码登录的网站一律不上', '登录过的记得改下密码！！！！', '吧务真是不做事', '他那个域名就不是TX的域名，这个看仔细了。而且现在这些操作能扫码一定要扫码登陆。', '为什么你会被这种网站骗啊，机器人24小时刷帖吧务是人管不住的，发这个贴的账号也换了十几个了', '还真有人上当啊 我的天', '手动输入密码真有你的', '', '666', '这样自爆容易让9月末的那群人无地自容']","['../../results\\钓鱼网站\\images\\第三回合_-0.jpg', '../../results\\钓鱼网站\\images\\第三回合_-1.jpg']"
